,User,Partition,Type,Affiliation,Description,Followers
79,liltunechi,1,c,,music,28 130 664
80,nbc,1,m,,news,1 433 728
81,gavinnewsom,0,p,Democrat,"Lieutenant Governor of California, former Mayor of SF", 1 243 200 
82,jlo,1,c,,music,37 532 371
83,iamdiddy,1,c,,music,11 719 947
84,cnni,2,m,,news,5 628 045
85,govmikehuckabee,0,p,Republican,"former governor of Arkansas, former presidential candidate", 498 556 
86,nancypelosi,2,p,Democrat,"House minority leader, Representative from California", 846 510 
87,espnstatsinfo,1,m,,sports,1 442 252
88,newyorker,2,m,,news,6 801 094
89,cbsnews,2,m,,news,4 870 269
90,oprah,1,c,,tv host,34 336 209
91,scottwalker,0,p,Republican,Governor of Wisconsin, 236 624 
92,harvardbiz,2,m,,"news, business",3 300 734
93,maroon5,1,c,,music,13 298 757
94,randpaul,0,p,Republican,Senator from Kentucky, 907 652 
95,kendalljenner,3,c,,reality tv,19 978 386
96,louisfarrakhan,2,p,,"Activist, leader of Nation of Islam", 457 889 
97,ricksantorum,0,p,Republican,"former Senator from Pennsylvania, presidential candidate", 273 803 
98,govchristie,2,p,Republican,Governor of New Jersey, 755 308 
99,stephenathome,2,c,,tv host,11 965 120
100,ronpaul,2,p,"Libertarian, former Republican","Former Representative from Texas, former presidential candidate", 596 749 
101,nytimesbooks,0,m,,life,4 031 507
102,taylorswift13,1,c,,music,81 148 129
103,sciam,2,m,,"news, science",1 765 868
104,gov,0,m,,twitter,2 274 522
105,parishilton,3,c,,"heiress, reality tv, actress, singer, model, business",13 855 030
106,gop,0,p,Republican,Group, 868 567 
107,speakerboehner,2,p,Republican,"Former House Speaker, Representative from Ohio", 1 294 929 
108,younghollywood,1,m,,"news, entertainment",3 009 372
109,usatoday,2,m,,news,2 696 144
110,billpostmus,2,p,Republican,Former elected official and GOP chair, 141 948 
111,hillaryclinton,2,p,Democrat,Presidential Candidate, 9 536 475 
112,slate,2,m,,news,1 611 624
113,twitterapi,2,m,,twitter,6 120 169
114,business,2,m,,"news, business",3 438 014
115,mirandacosgrove,1,c,,"actress, music",7 533 379
116,lmfao,1,c,,music,8 273 806
117,nbcnews,2,m,,news,3 876 084
118,univision,0,m,,news,2 449 479
119,shaq,1,c,,athlete,12 702 287
120,treysongz,1,c,,music,10 341 547
121,elizabethforma,2,p,Democrat,Senator from Massachusetts, 761 098 
122,stephencurry30,1,c,,athlete,7 191 327
123,aliciakeys,1,c,,music,24 030 712
124,jerrybrowngov,2,p,Democrat,Governor of California, 1 059 706 
125,kelly_clarkson,1,c,,music,11 188 966
126,tomhanks,1,c,,actor,12 210 302
127,usweekly,1,m,,"news, entertainment",2 020 664
128,blakeshelton,1,c,,music,18 108 880
129,hbo,1,m,,tv,1 572 360
130,zacefron,1,c,,actor,12 928 200
131,tmz,2,m,,"news, entertainment",4 245 203
132,potus,2,p,None,President, 10 681 955 
133,donnabrazile,0,p,Democrat,"Political analyst, interim chairperson at DNC", 566 124 
134,senschumer,2,p,Democrat,Senator from New York, 155 727 
135,nprpolitics,0,m,,news,2 368 651
136,senwarren,2,p,Democrat,Senator from Massachusetts, 965 964 
137,selenagomez,1,c,,music,45 945 224
138,kasimreed,0,p,Democrat,Mayor of Atlanta, 203 014 
139,housedemocrats,2,p,Democrat,Group, 359 247 
140,ddlovato,0,c,,music,38 874 223
141,kanyewest,3,c,,music,26 246 721
142,thr,0,m,,"news, entertainment",2 241 497
143,theellenshow,0,c,,tv host,62 588 079
144,techcrunch,2,m,,"news, tech",7 691 459
145,johnlegend,0,c,,music,8 258 195
146,realsimple,1,m,,life,1 469 468
147,foramerica,0,p,Republican,, 142 806 
148,rbreich,2,p,Democrat,former Secretary of Labor, 300 649 
149,marieclaire,0,m,,"news, fashion",2 176 416
150,mileycyrus,0,c,,music,30 804 092
151,repronpaul,2,p,Libertarian,"Former representative from Texas, former presidential candidate, former Republican", 178 856 
152,mufihannemann,0,p,Democrat,Former mayor of Honollulu, 487 094 
