,User,Partition,Type,Affiliation,Description,Followers
220,shaq,0,c,,athlete,12 702 287
221,wired,1,m,,"news, tech",7 116 434
222,newyorker,0,m,,news,6 801 094
223,wizkhalifa,0,c,,music,27 804 845
224,senjohnmccain,0,p,Republican,Senator from Arizona, 2 041 502 
225,timkaine,2,p,Democrat,"Senator for Virginia, VP candidate", 356 874 
226,ericgarcetti,1,p,Democrat,Mayor of Los Angeles, 145 719 
227,barackobama,2,p,Democrat,President , 77 884 582 
228,davidaxelrod,0,p,Democrat,Former chief strategist for Barack Obama , 488 077 
229,condoleezzarice,1,p,Republican,"Former secretary of state, democrat before 1982", 186 300 
230,wendydavis,0,p,Democrat,"Former senator from Texas, republican before 2006", 180 256 
231,nickjonas,1,c,,music,10 875 012
232,jimmyfallon,0,c,,tv host,42 982 092
233,cntraveler,0,m,,life,1 468 814
234,justinbieber,0,c,,music,88 699 317
235,sciencechannel,2,m,,tv,2 053 438
236,carlyfiorina,0,p,Republican,"President Candidate, former CEO of HP", 700 707 
237,berniesanders,1,p,Democrat,Presidential Candidate, 3 615 183 
238,pitbull,0,c,,music,22 767 655
239,tppatriots,0,p,Tea Party,, 176 983 
240,marvel,0,m,,tv,4 269 365
241,chrischristie,0,p,Republican,Governor of New Jersey, 146 191 
242,ew,0,m,,"news, entertainment",5 752 537
