,User,Partition,Type,Affiliation,Description,Followers
187,esquirenetwork,0,m,,life,1 586 466
188,wiredscience,1,m,,"news, science",1 955 397
189,nbatv,0,m,,sports,2 707 785
190,jessicaalba,0,c,,"actress, model, business",9 371 980
191,jebbush,1,p,Republican,"Governor of Florida, presidential candidate", 762 211 
192,womenshealthmag,0,m,,life,4 232 499
193,karlrove,1,p,Republican,"political consultant, policy advisor; deputy chief of staff under George W Bush", 654 349 
194,condoleezzarice,1,p,Republican,"Former secretary of state, democrat before 1982", 186 300 
195,johnemichel,1,p,,"Commanding General, NATO Air Training Command-Afghanistan", 526 296 
196,realdonaldtrump,1,p,Republican,Presidential Candidate, 12 227 110 
197,governorperry,1,p,"Republican, Democrat before 1989","Governor of Texas, presidential candidate", 344 251 
198,voterocky2016,1,p,Democrat,Presidential candidate, 233 194 
199,billgates,1,c,,business,31 208 894
200,sarahpalinusa,1,p,Republican,"Former governor of Alaska, VP Candidate", 1 290 672 
201,joetrippi,1,p,Democrat,Campaign worker/consultant; Fox News contributor, 960 136 
202,ew,0,m,,"news, entertainment",5 752 537
203,foodandwine,0,m,,life,4 970 351
204,sarahksilverman,0,c,,"actress, comedy",8 898 502
205,buzzfeed,0,m,,"news, entertainment",3 955 754
206,fortunemagazine,1,m,,"news, business",2 144 137
207,evalongoria,0,c,,actress,7 420 901
208,xtina,0,c,,music,16 138 736
209,azizansari,0,c,,actor,10 829 752
210,camerondallas,0,c,,"Vine, actor, music",9 083 089
211,iamwill,0,c,,music,13 622 394
212,pharrell,0,c,,music,9 349 444
213,bw,1,m,,"news, business",1 393 318
214,serenawilliams,0,c,,athlete,7 097 604
215,newtgingrich,1,p,Republican,"Former House Speaker, Representative from Georgia, Presidential Candidate", 1 673 001 
216,govgaryjohnson,1,p,Republican,"Former governor of new mexico, presidential candidate", 368 064 
217,potus,1,p,None,President, 10 681 955 
218,bet,0,m,,"news, entertainment",1 905 469
219,history,1,m,,tv,1 550 893
220,senmikelee,1,p,Republican,Senator from Utah, 244 977 
221,therock,0,c,,actor,10 520 023
222,cnbc,1,m,,news,2 435 953
223,thedemocrats,1,p,Democrat,Group, 679 121 
224,johnkerry,1,p,Democrat,Secretary of State, 1 960 269 
225,govwalker,1,p,Republican,Governor of Wisconsin, 161 852 
226,darrellissa,1,p,Republican,Representative from California, 227 530 
227,sethmacfarlane,0,c,,actor,10 946 541
228,marcanthony,1,c,,music,8 905 101
229,michelebachmann,1,p,Republican,"Former Representative from Minnesota, presidential candidate", 262 590 
230,tmagazine,0,m,,life,2 103 141
231,dccc,1,p,Democrat,Campaign arm of democrats in the House, 194 212 
232,goodhealth,0,m,,life,3 197 433
233,travelchannel,0,m,,life,2 310 537
234,ap,1,m,,news,8 736 830
235,shawnmendes,0,c,,music,7 618 905
236,snoopdogg,0,c,,music,14 636 989
237,carmeloanthony,0,c,,athlete,8 370 386
238,cnnmoney,1,m,,"news, business",1 651 999
239,lukebryanonline,0,c,,music,7 680 293
240,rollingstone,0,m,,"news, entertainment",5 279 722
241,sai,1,m,,"news, tech",1 383 982
242,tomhanks,0,c,,actor,12 210 302
243,pink,0,c,,music,28 246 806
244,ashleytisdale,0,c,,actress,13 252 356
245,joejonas,0,c,,music,8 319 951
246,repjohnlewis,1,p,Democrat,Representative from Georgia, 199 634 
247,teenvogue,0,m,,"news, fashion",2 656 688
248,menshealthmag,0,m,,life,3 519 089
249,alfranken,1,p,Democrat,Senator from Minnesota, 266 209 
250,voguemagazine,0,m,,"news, fashion",11 792 438
251,johnkingated,1,p,Democrat,Secretary of Education, 262 504 
252,businessinsider,1,m,,"news, business",1 653 786
253,lindasuhler,1,p,Conservative ,"Twitter activist, retired molecular biologist", 253 116 
254,jtimberlake,0,c,,music,56 753 923
255,mittromney,1,p,Republican,"Former Governor of Massachusetts, Presidential Candidate", 1 804 714 
256,jimdemint,1,p,Republican,"President of the Heritage Foundation, former Senator from South Carolina, leading figure in Tea Party", 226 159 
257,comedycentral,0,m,,tv,1 461 235
258,massgovernor,1,p,Republican,Governor of Massachusetts, 173 613 
259,inc,1,m,,"news, business",1 893 522
260,bigsean,0,c,,music,9 244 680
261,tedcruz,1,p,Republican,"Senator from Texas, Presidential Candidate", 1 644 787 
262,bishopnoeljones,1,p,,Pastor, 191 493 
263,nytimes,1,m,,news,30 936 311
264,krisjenner,0,c,,reality tv,7 696 281
265,jasoninthehouse,1,p,Republican,"Representative from Utah, former Democrat", 149 903 
266,sciencechannel,1,m,,tv,2 053 438
267,kingjames,0,c,,athlete,33 244 051
268,espndeportes,0,m,,sports,1 831 155
269,madam_president,1,p,Democrat,, 137 994 
270,ladygaga,0,c,,music,63 997 129
