,User,Partition,Type,Affiliation,Description,Followers
78,ricksantorum,0,p,Republican,"former Senator from Pennsylvania, presidential candidate", 273 803 
79,stephenathome,1,c,,tv host,11 965 120
80,ronpaul,0,p,"Libertarian, former Republican","Former Representative from Texas, former presidential candidate", 596 749 
81,xtina,1,c,,music,16 138 736
82,repjohnlewis,0,p,Democrat,Representative from Georgia, 199 634 
83,taylorswift13,1,c,,music,81 148 129
84,jimcarrey,0,c,,actor,15 336 262
85,parishilton,1,c,,"heiress, reality tv, actress, singer, model, business",13 855 030
86,gop,0,p,Republican,Group, 868 567 
87,speakerboehner,0,p,Republican,"Former House Speaker, Representative from Ohio", 1 294 929 
88,usatoday,1,m,,news,2 696 144
89,hillaryclinton,0,p,Democrat,Presidential Candidate, 9 536 475 
90,slate,0,m,,news,1 611 624
91,business,0,m,,"news, business",3 438 014
92,uninoticias,1,m,,news,1 467 289
93,lmfao,1,c,,music,8 273 806
94,nbcnews,0,m,,news,3 876 084
95,univision,1,m,,news,2 449 479
96,elizabethforma,0,p,Democrat,Senator from Massachusetts, 761 098 
97,treysongz,1,c,,music,10 341 547
98,stephencurry30,1,c,,athlete,7 191 327
99,aliciakeys,1,c,,music,24 030 712
100,jerrybrowngov,0,p,Democrat,Governor of California, 1 059 706 
101,kelly_clarkson,1,c,,music,11 188 966
102,kasimreed,0,p,Democrat,Mayor of Atlanta, 203 014 
103,blakeshelton,1,c,,music,18 108 880
104,hbo,1,m,,tv,1 572 360
105,zacefron,1,c,,actor,12 928 200
106,potus,0,p,None,President, 10 681 955 
107,donnabrazile,0,p,Democrat,"Political analyst, interim chairperson at DNC", 566 124 
108,senschumer,0,p,Democrat,Senator from New York, 155 727 
109,stevemartintogo,0,c,,"actor, comedian, music",7 832 018
110,senwarren,0,p,Democrat,Senator from Massachusetts, 965 964 
111,selenagomez,1,c,,music,45 945 224
112,housedemocrats,0,p,Democrat,Group, 359 247 
113,ddlovato,1,c,,music,38 874 223
114,kanyewest,1,c,,music,26 246 721
115,thr,1,m,,"news, entertainment",2 241 497
116,theellenshow,1,c,,tv host,62 588 079
117,johnlegend,1,c,,music,8 258 195
118,foramerica,0,p,Republican,, 142 806 
119,rbreich,0,p,Democrat,former Secretary of Labor, 300 649 
120,marieclaire,1,m,,"news, fashion",2 176 416
121,mileycyrus,1,c,,music,30 804 092
122,mufihannemann,0,p,Democrat,Former mayor of Honollulu, 487 094 
123,iamqueenlatifah,1,c,,"music, actress ",7 210 828
124,johncena,1,c,,"athlete, actor, music",8 756 823
125,nbaontnt,1,m,,sports,1 693 067
126,jimmykimmel,1,c,,tv host,8 007 499
127,tyrabanks,1,c,,"model, tv, business",13 515 832
128,politico,1,m,,"news, politics",2 075 384
129,mirandacosgrove,1,c,,"actress, music",7 533 379
130,mindykaling,1,c,,"actress, comedian",7 955 002
131,50cent,1,c,,music,8 723 410
132,kourtneykardash,1,c,,reality tv,21 163 315
133,dwstweets,0,p,Democrat,"Representative for Florida, former DNC chair", 356 761 
134,brunomars,1,c,,music,26 460 279
135,andersoncooper,1,c,,tv host,8 649 168
136,conanobrien,0,c,,tv host,21 989 171
137,gadgetlab,0,m,,"news, tech",1 940 731
138,iggyazalea,1,c,,music,7 117 671
139,sentedcruz,0,p,Republican,"Senator from Texas, Presidential Candidate", 803 738 
140,britneyspears,1,c,,music,47 938 333
141,enews,1,m,,"news, entertainment",10 328 085
142,npr,0,m,,news,6 245 878
143,realdonaldtrump,0,p,Republican,Presidential Candidate, 12 227 110 
144,jtimberlake,1,c,,music,56 753 923
145,actuallynph,1,c,,actor,25 593 162
146,darrellissa,0,p,Republican,Representative from California, 227 530 
147,washingtonpost,0,m,,news,7 589 534
148,cosmopolitan,1,m,,life,1 514 205
149,khloekardashian,1,c,,reality tv,22 208 174
150,wiredscience,0,m,,"news, science",1 955 397
151,nbatv,1,m,,sports,2 707 785
152,dccc,0,p,Democrat,Campaign arm of democrats in the House, 194 212 
